Actual_VWAP,Predicted_VWAP,Error
531.5488844403839,531.5477,0.0011549481963584185
531.5313541816116,531.51697,0.014386408174118515
531.5177477235524,531.4881,0.029649579021111094
531.5060233198955,531.46246,0.04355994098921201
531.4873892675333,531.43896,0.048424423783330894
531.4736151613058,531.41876,0.05485295427456549
531.4591549304918,531.4,0.05913051642926348
531.4434753424591,531.38226,0.06121215886537357
531.4312058449359,531.3656,0.06560525899840286
531.4172091480813,531.35,0.06723356214376963
531.4023802170159,531.33545,0.06693099826588877
531.3883817184748,531.3215,0.06690955050601133
531.372610741851,531.30774,0.06487148403846277
531.3554105496402,531.29395,0.06146523714016894
531.3408808629483,531.2799,0.06097363638582465
531.3149771466051,531.26605,0.04892490051133791
531.2923325526826,531.2517,0.04062356830763747
531.2642928063326,531.2367,0.027598470395105323
531.2414626675271,531.22076,0.020698507370866537
